name,persistent_candidate_id,electorate_name
"WOODHOUSE, Michael",65213f4e2536897c4e14e63d,Dunedin
"DYET, Bill",65213f5a2536897c4e14e68c,East Coast Bays
"GIELEN, Jack",65213f522536897c4e14e65b,Hamilton East
"MAHUTA, Nanaia",65213f642536897c4e14e6d2,Hauraki-Waikato
"GREENSLADE, David John",65213f762536897c4e14e758,Kaikōura
"McCASKEY, John",65213f842536897c4e14e7cd,Kaikōura
"HOWARD, Ted",65213f8a2536897c4e14e80e,Kaikōura
"GOODE, Richard",65213f882536897c4e14e7fe,Mana
"BRIDGE, Phillip",65213f892536897c4e14e807,Maungakiekie
"VAN DEN HEUVEL, Anthony Joseph J",65213f502536897c4e14e656,Mt Albert
"SMITH, John Clive",65213f962536897c4e14e88c,Napier
"VAUGHAN, Peter",65213f922536897c4e14e860,Nelson
"DYER, Bruce",65213f852536897c4e14e7d9,Nelson
"OLIVER, Steve",65213f942536897c4e14e872,New Lynn
"O'CONNOR, Greg",65213f552536897c4e14e66f,Ōhāriu
"WESSEX, Bob",65213f832536897c4e14e7c9,Ōtaki
"WELSH, Bruce",65213f5b2536897c4e14e694,Rongotai
"McDONALD, Don S Newt",65213f7f2536897c4e14e7a1,Rongotai
"ROBERTS, Fred",65213f442536897c4e14e5f9,Taieri
"WEBBER, David",65213f8a2536897c4e14e816,Taieri
"PEKE-MASON, Soraya",65213f722536897c4e14e73a,Te Tai Hauāuru
"TOSH, Allister David",65213f792536897c4e14e772,Tukituki
"PETROWSKI, Melanie Lorraine",65213f702536897c4e14e728,Tukituki
"NEWMAN, Chris",65213f932536897c4e14e871,Upper Harbour
"SOARES, Bernadette",65213f862536897c4e14e7eb,Upper Harbour
"SHAND, Daniel",65213f8b2536897c4e14e81d,Waitaki
"OSMASTON, Richard",65213f502536897c4e14e652,West Coast-Tasman
"HANSEN, Tubby",65213f732536897c4e14e73b,Wigram
"McTAGUE, Geoff",65213f672536897c4e14e6e9,Wigram